symbol,ID,adj.P.Val,P.Value,t,B,logFC,ORF,desc
ATP10D,57205_at,0.307,0.0038612,3.421503,-1.7406,2.0107889,57205,"ATPase, class V, type 10D"
CYCS,54205_at,0.307,0.0038637,-3.421185,-1.7412,-0.8918,54205,"cytochrome c, somatic"
YBEY,54059_at,0.307,0.0038656,3.420943,-1.7416,0.9521722,54059,ybeY metallopeptidase (putative)
ATP1B1,481_at,0.307,0.003872,-3.420134,-1.743,-2.2584944,481,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
FKRP,79147_at,0.309,0.0039212,3.413937,-1.7537,0.8994056,79147,fukutin related protein
TMEM187,8269_at,0.309,0.0039376,-3.411889,-1.7572,-0.9716722,8269,transmembrane protein 187
TIMP2,7077_at,0.31,0.0039671,3.408223,-1.7635,2.5449,7077,TIMP metallopeptidase inhibitor 2
ZNF480,147657_at,0.31,0.0039785,3.406822,-1.766,0.9987278,147657,zinc finger protein 480
KLF4,9314_at,0.31,0.0040006,-3.404095,-1.7707,-1.9807889,9314,Kruppel-like factor 4 (gut)
HOXC9,3225_at,0.31,0.0040142,3.402431,-1.7735,2.0081,3225,homeobox C9
LINC00858,170425_at,0.31,0.0040387,-3.399451,-1.7787,-0.6236278,170425,uncharacterized LOC170425
BDNF,627_at,0.31,0.0040471,3.398425,-1.7805,1.7487444,627,brain-derived neurotrophic factor
TPK1,27010_at,0.31,0.0040847,3.393894,-1.7883,1.1990389,27010,thiamin pyrophosphokinase 1
PPFIBP2,8495_at,0.31,0.0041033,-3.39166,-1.7922,-2.7165444,8495,"PTPRF interacting protein, binding protein 2 (liprin beta 2)"
GCLC,2729_at,0.31,0.0041055,-3.391395,-1.7926,-1.4321889,2729,"glutamate-cysteine ligase, catalytic subunit"
ARMC9,80210_at,0.31,0.0041199,3.389686,-1.7956,1.1695778,80210,armadillo repeat containing 9
DIPK1B,138311_at,0.31,0.0041213,3.38952,-1.7959,1.2556889,138311,"family with sequence similarity 69, member B"
SNORC,389084_at,0.312,0.0041762,-3.383025,-1.8071,-1.2282611,389084,chromosome 2 open reading frame 82
BABAM1,29086_at,0.312,0.0041978,3.380492,-1.8114,0.5708778,29086,BRISC and BRCA1 A complex member 1
HEXIM1,10614_at,0.312,0.0042029,3.379898,-1.8125,1.1311056,10614,hexamethylene bis-acetamide inducible 1
FBXO27,126433_at,0.312,0.0042322,3.376486,-1.8184,0.4389556,126433,F-box protein 27
BLTP2,9703_at,0.312,0.0042651,3.372684,-1.8249,0.5726833,9703,KIAA0100
C1orf216,127703_at,0.312,0.0042899,3.369838,-1.8299,1.0505667,127703,chromosome 1 open reading frame 216
SDHAF2,54949_at,0.312,0.0042921,3.36959,-1.8303,0.7660389,54949,succinate dehydrogenase complex assembly factor 2
SCYL1,57410_at,0.312,0.0042953,3.369223,-1.8309,0.6761444,57410,SCY1-like 1 (S. cerevisiae)
SNF8,11267_at,0.312,0.0043041,3.368214,-1.8327,0.7364444,11267,"SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)"
SLC27A2,11001_at,0.313,0.0043437,-3.363727,-1.8404,-2.6344889,11001,"solute carrier family 27 (fatty acid transporter), member 2"
RNF26,79102_at,0.313,0.004352,3.362789,-1.842,0.6525222,79102,ring finger protein 26
EHMT2,10919_at,0.315,0.0044157,3.355657,-1.8544,0.6857444,10919,euchromatic histone-lysine N-methyltransferase 2
STX8,9482_at,0.315,0.0044237,3.354767,-1.8559,0.8646167,9482,syntaxin 8
RNF25,64320_at,0.315,0.0044442,3.352501,-1.8598,0.8036667,64320,ring finger protein 25
R3HDM2,22864_at,0.315,0.0044458,-3.352319,-1.8601,-0.5472278,22864,R3H domain containing 2
YLPM1,56252_at,0.315,0.0044579,3.350982,-1.8624,0.5547167,56252,YLP motif containing 1
high mobility group AT-hook 1 pseudogene 4,100506080_at,0.315,0.0044732,-3.3493,-1.8653,-0.4841611,100506080,high mobility group AT-hook 1 pseudogene 4
CYP2R1,120227_at,0.315,0.0045376,-3.342291,-1.8774,-1.0404444,120227,"cytochrome P450, family 2, subfamily R, polypeptide 1"
APEX1,328_at,0.315,0.0045387,3.342172,-1.8777,0.6097222,328,APEX nuclease (multifunctional DNA repair enzyme) 1
WDR83OS,51398_at,0.315,0.0045493,3.341023,-1.8796,0.3886111,51398,WD repeat domain 83 opposite strand
SLC7A1,6541_at,0.315,0.0045653,-3.339304,-1.8826,-0.61365,6541,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1"
DPP4,1803_at,0.315,0.0045918,-3.336466,-1.8875,-2.9151556,1803,dipeptidyl-peptidase 4
DAXX,1616_at,0.315,0.0045952,3.3361,-1.8881,0.8520444,1616,death-domain associated protein
COBLL1,22837_at,0.315,0.0045995,-3.335641,-1.8889,-0.8855111,22837,COBL-like 1
ALG5,29880_at,0.315,0.0046171,-3.333764,-1.8922,-0.8311667,29880,"asparagine-linked glycosylation 5, dolichyl-phosphate beta-glucosyltransferase homolog (S. cerevisiae)"
STIP1,10963_at,0.315,0.0046401,3.33133,-1.8964,0.9553222,10963,stress-induced-phosphoprotein 1
DOP1A,23033_at,0.315,0.0046646,-3.328742,-1.9009,-0.8165722,23033,dopey family member 1
SMARCA1,6594_at,0.315,0.0046713,3.328041,-1.9021,3.2965444,6594,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
HNF1A,6927_at,0.315,0.0046718,-3.327985,-1.9022,-1.1263222,6927,HNF1 homeobox A
DENND1B,163486_at,0.316,0.0047497,-3.319865,-1.9162,-1.1249833,163486,DENN/MADD domain containing 1B
SDHAF4,135154_at,0.316,0.0047505,-3.319779,-1.9163,-1.2195111,135154,chromosome 6 open reading frame 57
LSM2,57819_at,0.316,0.0047593,3.318873,-1.9179,0.6770111,57819,"LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
POLR1F,221830_at,0.316,0.004766,-3.318189,-1.9191,-0.5703333,221830,TWIST neighbor
PDLIM7,9260_at,0.316,0.0047882,3.315899,-1.923,0.8428667,9260,PDZ and LIM domain 7 (enigma)
MGST2,4258_at,0.316,0.0047965,-3.315054,-1.9245,-2.3057,4258,microsomal glutathione S-transferase 2
RSBN1L,222194_at,0.319,0.0048611,-3.308484,-1.9358,-0.5008111,222194,round spermatid basic protein 1-like
COG5,10466_at,0.32,0.0049109,-3.303476,-1.9445,-0.8825778,10466,component of oligomeric golgi complex 5
TTC13,79573_at,0.32,0.0049184,-3.302732,-1.9458,-0.7707278,79573,tetratricopeptide repeat domain 13
KLF3,51274_at,0.32,0.0049229,-3.302286,-1.9466,-0.7910056,51274,Kruppel-like factor 3 (basic)
ANKS4B,257629_at,0.32,0.004945,-3.300084,-1.9504,-1.2702611,257629,ankyrin repeat and sterile alpha motif domain containing 4B
CEP131,22994_at,0.32,0.0049581,3.298786,-1.9526,0.5470167,22994,5-azacytidine induced 1
ZNF512,84450_at,0.321,0.0049902,3.295617,-1.9581,1.3274111,84450,zinc finger protein 512
TRPM8,79054_at,0.321,0.0050189,3.292803,-1.9629,0.2983556,79054,"transient receptor potential cation channel, subfamily M, member 8"
NME7,29922_at,0.321,0.0050675,3.288067,-1.9711,1.1143778,29922,"non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)"
PNPLA6,10908_at,0.321,0.0051243,3.282598,-1.9806,1.2903722,10908,patatin-like phospholipase domain containing 6
FGFR1,2260_at,0.321,0.0051389,3.281198,-1.983,1.7119889,2260,fibroblast growth factor receptor 1
LRRC20,55222_at,0.321,0.0051581,3.279371,-1.9861,0.7570111,55222,leucine rich repeat containing 20
PKDCC,91461_at,0.321,0.0051736,-3.277892,-1.9887,-2.2011278,91461,"protein kinase domain containing, cytoplasmic homolog (mouse)"
POLR1D,51082_at,0.321,0.0052185,-3.273655,-1.996,-0.8950833,51082,"polymerase (RNA) I polypeptide D, 16kDa"
LNX2,222484_at,0.321,0.0052314,-3.272439,-1.9981,-0.9502444,222484,ligand of numb-protein X 2
MCC,4163_at,0.321,0.0052339,3.2722,-1.9985,1.9014722,4163,mutated in colorectal cancers
HMGA1,3159_at,0.321,0.0052483,3.270852,-2.0008,1.2393333,3159,high mobility group AT-hook 1
EXOC2,55770_at,0.321,0.0052533,3.270386,-2.0016,0.5675944,55770,exocyst complex component 2
uncharacterized LOC100505484,100505484_at,0.321,0.0052541,-3.270308,-2.0018,-0.3502667,100505484,uncharacterized LOC100505484
ZW10,9183_at,0.321,0.0052623,3.269549,-2.0031,0.4438889,9183,"ZW10, kinetochore associated, homolog (Drosophila)"
IL17D,53342_at,0.321,0.0052658,-3.269223,-2.0036,-1.5424778,53342,interleukin 17D
RAB34,83871_at,0.321,0.0052722,3.268625,-2.0047,3.4402944,83871,"RAB34, member RAS oncogene family"
AQP7,364_at,0.321,0.0052802,-3.267877,-2.006,-0.4914,364,aquaporin 7
SGPP2,130367_at,0.321,0.005286,-3.267339,-2.0069,-1.9837056,130367,sphingosine-1-phosphate phosphatase 2
SLC26A11,284129_at,0.321,0.0052958,3.266427,-2.0085,0.9982056,284129,"solute carrier family 26, member 11"
ARHGEF15,22899_at,0.321,0.0053188,-3.264301,-2.0121,-0.2861722,22899,Rho guanine nucleotide exchange factor (GEF) 15
GALK2,2585_at,0.321,0.0053337,-3.26293,-2.0145,-0.9495833,2585,galactokinase 2
PGS1,9489_at,0.321,0.0053435,3.262023,-2.0161,0.6042778,9489,phosphatidylglycerophosphate synthase 1
PIP5K1B,8395_at,0.321,0.0053523,-3.261215,-2.0175,-3.3185167,8395,"phosphatidylinositol-4-phosphate 5-kinase, type I, beta"
MMAB,326625_at,0.323,0.0054218,-3.254882,-2.0284,-0.6502833,326625,methylmalonic aciduria (cobalamin deficiency) cblB type
PPP2R2D,55844_at,0.323,0.0054392,3.253307,-2.0311,0.4643667,55844,"protein phosphatase 2, regulatory subunit B, delta"
RIPOR1,79567_at,0.323,0.0054425,3.25301,-2.0316,0.9424722,79567,"family with sequence similarity 65, member A"
SH3BP5L,80851_at,0.324,0.0054793,3.249696,-2.0374,0.7174944,80851,SH3-binding domain protein 5-like
GTPBP10,85865_at,0.324,0.0054926,-3.248507,-2.0394,-0.8811944,85865,GTP-binding protein 10 (putative)
TRIM2,23321_at,0.329,0.0056114,-3.237997,-2.0576,-2.4864778,23321,tripartite motif containing 2
POPDC3,64208_at,0.329,0.0056123,3.237917,-2.0577,2.6319444,64208,popeye domain containing 3
PCSK9,255738_at,0.329,0.0056407,-3.235436,-2.062,-1.9450056,255738,proprotein convertase subtilisin/kexin type 9
ARL14,80117_at,0.329,0.0056776,-3.232237,-2.0675,-2.5185889,80117,ADP-ribosylation factor-like 14
FSCN1,6624_at,0.329,0.0056861,3.231501,-2.0688,2.2619222,6624,"fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)"
RBFOX2,23543_at,0.329,0.0056929,3.230914,-2.0698,0.76735,23543,"RNA binding protein, fox-1 homolog (C. elegans) 2"
PRR15L,79170_at,0.329,0.0057412,-3.226761,-2.0769,-3.2537444,79170,proline rich 15-like
MAL2,114569_at,0.329,0.0057563,-3.225466,-2.0792,-4.1214444,114569,"mal, T-cell differentiation protein 2 (gene/pseudogene)"
KLF5,688_at,0.329,0.0057669,-3.224568,-2.0807,-2.4347722,688,Kruppel-like factor 5 (intestinal)
ADARB1,104_at,0.329,0.0057826,3.22323,-2.083,0.4661056,104,"adenosine deaminase, RNA-specific, B1"
KCNE3,10008_at,0.329,0.005813,-3.220652,-2.0875,-2.6933111,10008,"potassium voltage-gated channel, Isk-related family, member 3"
SLC22A3,6581_at,0.329,0.0058187,-3.22017,-2.0883,-2.3065444,6581,"solute carrier family 22 (extraneuronal monoamine transporter), member 3"
PRELID2,153768_at,0.329,0.0058192,-3.220124,-2.0884,-1.6047167,153768,PRELI domain containing 2
SNX13,23161_at,0.329,0.0058236,-3.219757,-2.089,-0.59435,23161,sorting nexin 13
AKR1B1,231_at,0.329,0.0058435,3.218083,-2.0919,4.1513722,231,"aldo-keto reductase family 1, member B1 (aldose reductase)"
HADH,3033_at,0.33,0.0058758,-3.21537,-2.0966,-0.7702389,3033,hydroxyacyl-CoA dehydrogenase
SMIM24,284422_at,0.334,0.00597,-3.207554,-2.1101,-1.1682222,284422,chromosome 19 open reading frame 77
PCDHB2,56133_at,0.336,0.0060173,3.203678,-2.1168,2.4065722,56133,protocadherin beta 2
PAN3,255967_at,0.338,0.0061,-3.196963,-2.1284,-0.9348222,255967,PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)
KANK2,25959_at,0.338,0.0061216,3.195225,-2.1314,1.2132667,25959,KN motif and ankyrin repeat domains 2
SERPINB1,1992_at,0.338,0.0061384,-3.193879,-2.1337,-3.5758389,1992,"serpin peptidase inhibitor, clade B (ovalbumin), member 1"
MAP3K3,4215_at,0.338,0.006139,3.193834,-2.1338,0.8553222,4215,mitogen-activated protein kinase kinase kinase 3
GPR22,2845_at,0.338,0.0061839,-3.190245,-2.1399,-0.7655722,2845,G protein-coupled receptor 22
OPLAH,26873_at,0.338,0.0062153,-3.187758,-2.1442,-1.3280667,26873,5-oxoprolinase (ATP-hydrolysing)
PAOX,196743_at,0.338,0.0062235,3.187113,-2.1453,0.8976444,196743,polyamine oxidase (exo-N4-amino)
SAMM50,25813_at,0.338,0.0062483,3.185153,-2.1487,0.6018,25813,sorting and assembly machinery component 50 homolog (S. cerevisiae)
GSKIP,51527_at,0.338,0.0062819,-3.182518,-2.1533,-0.9573778,51527,chromosome 14 open reading frame 129
SLC22A17,51310_at,0.338,0.0062984,3.181224,-2.1555,1.0741111,51310,"solute carrier family 22, member 17"
ISG15,9636_at,0.338,0.0063173,3.179757,-2.158,1.9408556,9636,ISG15 ubiquitin-like modifier
FUT11,170384_at,0.338,0.0063211,3.179461,-2.1585,1.1517889,170384,"fucosyltransferase 11 (alpha (1,3) fucosyltransferase)"
ZNF175,7728_at,0.338,0.0063318,3.17863,-2.16,1.2737556,7728,zinc finger protein 175
PWWP2A,114825_at,0.338,0.0063392,-3.178055,-2.161,-0.5108611,114825,PWWP domain containing 2A
EDEM3,80267_at,0.338,0.0063689,-3.175756,-2.1649,-0.8171056,80267,"ER degradation enhancer, mannosidase alpha-like 3"
PROS1,5627_at,0.338,0.0063788,3.174993,-2.1662,2.4077556,5627,protein S (alpha)
RNFT2,84900_at,0.338,0.0063938,3.173836,-2.1682,1.1999278,84900,"ring finger protein, transmembrane 2"
KRT10-AS1,147184_at,0.338,0.0064036,3.173082,-2.1695,1.48235,147184,transmembrane protein 99
FHIP1A,729830_at,0.338,0.0064331,-3.170821,-2.1734,-0.2997944,729830,"family with sequence similarity 160, member A1"
ZNF45,7596_at,0.338,0.0064557,3.169093,-2.1764,1.0529611,7596,zinc finger protein 45
ELAC2,60528_at,0.338,0.0064604,3.16874,-2.177,0.7221667,60528,elaC homolog 2 (E. coli)
uncharacterized LOC100506676,100506676_at,0.338,0.006475,3.167628,-2.1789,1.7836667,100506676,uncharacterized LOC100506676
CHRM3,1131_at,0.338,0.0064936,-3.166215,-2.1814,-1.3343056,1131,"cholinergic receptor, muscarinic 3"
DIAPH2,1730_at,0.338,0.0065003,-3.165708,-2.1822,-2.5734,1730,diaphanous homolog 2 (Drosophila)
GAMT,2593_at,0.338,0.0065462,3.162247,-2.1882,1.3009556,2593,guanidinoacetate N-methyltransferase
CLTCL1,8218_at,0.338,0.0065466,3.162215,-2.1883,0.6180944,8218,"clathrin, heavy chain-like 1"
ITGA5,3678_at,0.338,0.0065501,3.161956,-2.1887,1.7635833,3678,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
MACIR,90355_at,0.338,0.0065595,-3.161252,-2.1899,-1.0120889,90355,chromosome 5 open reading frame 30
COPS7B,64708_at,0.339,0.0065868,3.159207,-2.1935,0.5340278,64708,COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)
PLEKHO2,80301_at,0.339,0.0066144,3.157152,-2.197,0.5232444,80301,"pleckstrin homology domain containing, family O member 2"
U2AF1,7307_at,0.339,0.0066228,3.156526,-2.1981,0.4808333,7307,U2 small nuclear RNA auxiliary factor 1
SOX12,6666_at,0.339,0.0066471,3.154726,-2.2012,0.7545667,6666,SRY (sex determining region Y)-box 12
REL,5966_at,0.341,0.0067131,-3.149863,-2.2096,-0.8190444,5966,v-rel reticuloendotheliosis viral oncogene homolog (avian)
TMEM132A,54972_at,0.341,0.0067277,3.148791,-2.2114,0.4841333,54972,transmembrane protein 132A
IGF2BP1,10642_at,0.341,0.0067377,3.148064,-2.2127,1.6130333,10642,insulin-like growth factor 2 mRNA binding protein 1
TTF2,8458_at,0.341,0.0067563,-3.146703,-2.215,-0.9824611,8458,"transcription termination factor, RNA polymerase II"
LYZ,4069_at,0.341,0.0067823,-3.144819,-2.2182,-4.9888167,4069,lysozyme
DNMT3B,1789_at,0.341,0.0068043,3.143223,-2.221,1.6822056,1789,DNA (cytosine-5-)-methyltransferase 3 beta
SYBU,55638_at,0.341,0.0068281,-3.141506,-2.2239,-2.21055,55638,syntabulin (syntaxin-interacting)
USB1,79650_at,0.341,0.0068716,3.138378,-2.2293,0.7471667,79650,chromosome 16 open reading frame 57
OAZ2,4947_at,0.341,0.0068806,3.137732,-2.2304,0.8221556,4947,ornithine decarboxylase antizyme 2
MTUS1,57509_at,0.341,0.0068995,-3.136387,-2.2328,-2.5977611,57509,microtubule associated tumor suppressor 1
C11orf68,83638_at,0.341,0.0069046,3.13602,-2.2334,0.9292944,83638,chromosome 11 open reading frame 68
MYO1D,4642_at,0.341,0.0069142,-3.13534,-2.2346,-1.9953778,4642,myosin ID
BRCA2,675_at,0.341,0.0069213,-3.13483,-2.2354,-0.9582611,675,"breast cancer 2, early onset"
BCL2L14,79370_at,0.341,0.0069347,-3.133879,-2.2371,-2.5141167,79370,BCL2-like 14 (apoptosis facilitator)
BPGM,669_at,0.341,0.006959,3.132161,-2.24,0.7815556,669,"2,3-bisphosphoglycerate mutase"
TMEM192,201931_at,0.343,0.0070081,-3.128698,-2.246,-0.7029444,201931,transmembrane protein 192
HECA,51696_at,0.343,0.0070402,-3.126449,-2.2499,-1.7733444,51696,headcase homolog (Drosophila)
CSRP2,1466_at,0.343,0.0070547,3.125438,-2.2516,3.3318444,1466,cysteine and glycine-rich protein 2
PMP22,5376_at,0.344,0.0070966,3.122521,-2.2566,2.4440278,5376,peripheral myelin protein 22
KRIT1,889_at,0.344,0.0071156,-3.121204,-2.2589,-0.5930722,889,"KRIT1, ankyrin repeat containing"
EXTL2,2135_at,0.344,0.0071218,3.120777,-2.2596,0.96485,2135,exostoses (multiple)-like 2
ANKRD40CL,55018_at,0.344,0.0071398,-3.119529,-2.2618,-2.73415,55018,long intergenic non-protein coding RNA 483
AGPAT1,10554_at,0.344,0.0071542,3.118537,-2.2635,0.8381389,10554,"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)"
TMEM62,80021_at,0.344,0.0071762,-3.117029,-2.2661,-0.7025389,80021,transmembrane protein 62
PDGFC,56034_at,0.346,0.0072534,3.11176,-2.2752,2.5522611,56034,platelet derived growth factor C
PTER,9317_at,0.346,0.0072553,-3.111632,-2.2754,-1.5973833,9317,phosphotriesterase related
PLEKHG1,57480_at,0.346,0.0072661,-3.110895,-2.2767,-1.6489444,57480,"pleckstrin homology domain containing, family G (with RhoGef domain) member 1"
CYP3A5,1577_at,0.346,0.0073394,-3.105951,-2.2852,-2.1301667,1577,"cytochrome P450, family 3, subfamily A, polypeptide 5"
GPR160,26996_at,0.346,0.0073665,-3.104138,-2.2883,-3.5716389,26996,G protein-coupled receptor 160
EVPL,2125_at,0.346,0.0073928,-3.10238,-2.2913,-1.3508278,2125,envoplakin
SNRNP40,9410_at,0.346,0.0074038,3.101652,-2.2926,0.7471944,9410,small nuclear ribonucleoprotein 40kDa (U5)
SCN10A,6336_at,0.346,0.0074289,-3.099982,-2.2954,-0.3788944,6336,"sodium channel, voltage-gated, type X, alpha subunit"
HDGFL2,84717_at,0.346,0.0074554,3.098227,-2.2985,0.6442833,84717,hepatoma-derived growth factor-related protein 2
CCT6B,10693_at,0.346,0.0074601,-3.097916,-2.299,-1.1508778,10693,"chaperonin containing TCP1, subunit 6B (zeta 2)"
SSMEM1,136263_at,0.346,0.0074654,-3.09757,-2.2996,-0.2783167,136263,chromosome 7 open reading frame 45
MEN1,4221_at,0.346,0.0074701,3.097259,-2.3001,0.6921556,4221,multiple endocrine neoplasia I
ZNF579,163033_at,0.346,0.0074749,3.096941,-2.3007,0.5316278,163033,zinc finger protein 579
VAPA,9218_at,0.346,0.0075081,3.094759,-2.3044,0.3210556,9218,"VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa"
LCN2,3934_at,0.346,0.0075619,-3.09124,-2.3105,-3.5883111,3934,lipocalin 2
GLS,2744_at,0.346,0.0075736,-3.090481,-2.3118,-1.2639611,2744,glutaminase
ALPK1,80216_at,0.346,0.0075785,-3.090163,-2.3123,-1.1933778,80216,alpha-kinase 1
ERI3,79033_at,0.346,0.0076004,3.088737,-2.3148,0.5258889,79033,ERI1 exoribonuclease family member 3
PSMC3,5702_at,0.346,0.007611,3.088053,-2.316,0.71395,5702,"proteasome (prosome, macropain) 26S subunit, ATPase, 3"
LAPTM4B,55353_at,0.346,0.0076479,3.085672,-2.32,2.4613889,55353,lysosomal protein transmembrane 4 beta
RBPJ,3516_at,0.346,0.0076543,3.085253,-2.3208,0.6348,3516,recombination signal binding protein for immunoglobulin kappa J region
CAV1,857_at,0.346,0.0076732,3.084041,-2.3228,3.4993444,857,"caveolin 1, caveolae protein, 22kDa"
UFD1,7353_at,0.346,0.0076766,3.083824,-2.3232,0.6445556,7353,ubiquitin fusion degradation 1 like (yeast)
PTPRS,5802_at,0.346,0.0076866,3.083182,-2.3243,0.7663333,5802,"protein tyrosine phosphatase, receptor type, S"
DPY19L2P3,442524_at,0.346,0.0076923,-3.082814,-2.325,-0.6947389,442524,dpy-19-like 2 pseudogene 3 (C. elegans)
EIF2B4,8890_at,0.346,0.0077206,3.081005,-2.3281,0.5535,8890,"eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa"
FBLN1,2192_at,0.346,0.0077501,3.079127,-2.3313,1.1949222,2192,fibulin 1
PCDHB3,56132_at,0.346,0.0077516,3.079032,-2.3315,0.2816222,56132,protocadherin beta 3
PPP1R1B,84152_at,0.346,0.0077593,-3.078541,-2.3323,-3.6331944,84152,"protein phosphatase 1, regulatory (inhibitor) subunit 1B"
NOXA1,10811_at,0.346,0.0077798,-3.077242,-2.3345,-0.5811889,10811,NADPH oxidase activator 1
GUCA2A,2980_at,0.348,0.0078232,-3.074501,-2.3393,-1.7502389,2980,guanylate cyclase activator 2A (guanylin)
uncharacterized LOC728392,728392_at,0.348,0.0078616,3.072087,-2.3434,2.2595722,728392,uncharacterized LOC728392
TRABD2A,129293_at,0.348,0.0078925,-3.070152,-2.3467,-2.6040444,129293,chromosome 2 open reading frame 89
TAPBPL,55080_at,0.348,0.0079188,-3.068514,-2.3495,-1.6213389,55080,TAP binding protein-like
PLAT,5327_at,0.348,0.0079331,3.067619,-2.3511,1.6750833,5327,"plasminogen activator, tissue"
SCYL3,57147_at,0.348,0.0079396,-3.067216,-2.3518,-0.83565,57147,SCY1-like 3 (S. cerevisiae)
ARRDC4,91947_at,0.348,0.007958,-3.066075,-2.3537,-2.3551778,91947,arrestin domain containing 4
PCGF3,10336_at,0.348,0.0079707,3.065294,-2.3551,0.4245611,10336,polycomb group ring finger 3
MUC20,200958_at,0.348,0.0080152,-3.062549,-2.3598,-2.4005,200958,"mucin 20, cell surface associated"
ETFA,2108_at,0.348,0.0080164,-3.062472,-2.3599,-0.6551667,2108,"electron-transfer-flavoprotein, alpha polypeptide"
PREX1,57580_at,0.348,0.008052,3.060287,-2.3637,1.1654611,57580,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1"
